Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C3, C5",0805,4,22uF,CL21A226MOCLRNC
"C10, C11, C12, C13, C14, C2, C23, C24, C4",1206,9,330nF,CL31B333KHHSFNE
"C15, C16, C6, C8, C9",0603,5,0.1uF,06035C104KAT4A
C7,0603,1,330pF,CC0603KRX7R9BB331
"D1, D10, D11, D12, D13, D8, D9",D_SMA,7,RS1J,RS1J
"D14, D2, D3, D4, D5, D6, D7",0603,7,0603RBD0700S01,0603RBD0700S01
"FID1, FID2, FID3",Fiducial_1mm_Mask2mm,3,Fiducial,
G1,SBM-20,1,GM_tube_HOLDERS,
"H1, H3",MountingHole_2.5mm_Pad_Via,2,MountingHole_Pad,
"H2, H4",MountingHole_2.5mm,2,MountingHole_Pad,
"J1, J10, J5",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04,61300411121
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,61300611121
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,CONN RCP USB2.0 TYP C 24P SMD RA
L2,L_Radial_D10.5mm_P5.00mm_Abacron_AISR-01,1,22mH,RLB1014-223KL
Q1,SOT-223,1,STN0214,STN0214
Q2,SOT-23_Handsoldering,1,"PMBT2222A,215","PMBT2222A,215"
Q3,SOT-23_Handsoldering,1,DMG2302UK-7,DMG2302UK-7
Q4,SOT-363_SC-70-6,1,UMH3N,
"R1, R31, R32",0603,3,47R,RMCF0603JT47R0
"R10, R11, R12, R13, R33, R34, R9",0603,7,270R,RC0603JR-07270RL
"R14, R15",0603,2,5.1k,RMCF0603JT5K10
"R16, R17, R18, R2, R8",0603,5,10k,RMCF0603JT10K0
"R19, R21, R23, R25",1206,4,1M,KTR18EZPF1004
"R20, R22, R24, R26, R28",1206,5,10M,KTR18EZPF1005
"R27, R3, R4",1206,3,510k,KTR18EZPJ514
"R29, R6",0603,2,100k,RMCF0603JT100K
R30,1206,1,0R,KTR18EZPF0
R5,0603,1,1.5k,RNCP0603FTD1K50
R7,0603,1,27k,RMCF0603JT27K0
"SW1, SW2",SW_TL3301NF160QG_TR,2,TL3301NF160QG/TR,TL3301NF160QG/TR
U1,ESP32-WROOM-32,1,ESP32-WROOM-32E,ESP32-WROOM-32E-N16
U2,SOT-223-3_TabPin2,1,TC1264-3.3VDBTR,TC1264-3.3VDBTR
U3,SSOP-20_3.9x8.7mm_P0.635mm,1,FT231XS,
